SBD,Toán,Văn,Sử,Địa,Lí,Sinh,Anh,GDCD,Hóa
2037992,8.4,6,,,3.5,5.25,6,,5.75,
2038810,5.2,6.25,6,6,,,3.4,8.5,,
2038874,7,6.25,,,6.5,5.5,5.8,,6.75,
2038997,7,7.5,8,6,,,,8.75,,
2038243,5.8,6,,,5.5,4.75,6.6,,4.75,
2038748,7.6,6.25,,,6.25,5.5,6.2,,7.5,
2038935,9.2,7.5,,,9.5,8,9.2,,6.25,
2038811,7.4,6.75,,,7.5,5.5,5,,7.5,
2038244,6.8,6.5,5,7.25,,,3,8.25,,
2038936,8.8,6.5,,,6.5,5.5,6.6,,7,
2038998,8.2,8,,,5.5,8,9.2,,8.25,
2038937,8.2,8.25,,,7.25,7.5,,,9,
2038999,8.4,7,,,7,6.75,9,,8.25,
2039000,8.6,6.5,,,9,7,8.8,,8,
2039063,9,4.75,,,9.25,3.5,6.2,,8.75,
2039126,8.6,8.25,,,6.5,6.25,,,8.25,
2039189,7.2,7.5,8,7.75,,,6.6,8.5,,
2039064,,,,,,,,,,
2039252,8.4,7,,,9,3.5,8.4,,8.5,
2039001,8,6.5,6.5,7.5,,,9.6,8.25,,
2039315,8.2,6,,,7,4.75,4.8,,8.25,
2039441,8.2,6.75,,,5,4.75,7,,4.5,
2039567,8.8,6.25,,,9.25,3.5,6.2,,9.5,
2039378,8.4,7.25,,,6.25,4.25,8.4,,9,
2039504,8.6,7.75,6,7,,,8.6,7.75,,
2039190,8.4,8,8.75,7.75,,,7,7.5,,
2039630,9,5.5,,,7.75,6,5.2,,8.5,
2039819,4.2,5,5,5.5,,,3,6,,
2039693,8.8,6,,,8.25,4.75,8.2,,5.75,
2039127,8.8,7,,,7.25,5.5,6.8,,5,
2039065,8.4,7,,,8.25,4,8.8,,8,
2039253,7.2,5.75,,,5.25,8,8,,8,
2039945,7,6,,,4,3.75,6,,6.75,
2039882,7,6.75,,,6.25,5,6.4,,6.5,
2039756,7,7,8,8,,,9,8,,
2039442,8.6,6,,,5,7.75,7.2,,9,
2040008,8,7.25,,,6.75,5.75,7.4,,6.25,
2039002,9,7.5,,,7.5,5.25,8.8,,5,
2040071,6.8,5.25,,,3.75,3.5,4.2,,4.75,
2039316,8.8,8,7.75,7.5,,,8.2,8,,
2040197,8,7,,,7.5,5.5,7,,7.5,
2039379,6.6,5.75,5.75,7.25,,,8.4,8.25,,
2040449,8.8,6.75,,,8.5,6,8.2,,7,
2040386,7,6.25,5.75,7,,,3,7.5,,
2040134,7,5.5,,,6.5,3.5,3.8,,5.25,
2039568,8.2,7.75,7,6.5,,,8.6,8.75,,
2040323,8.4,7.5,,,5.5,9,8,,9,
2040512,8.4,5.5,,,8.25,5.5,6.6,,8,
2039694,7.4,8,5.5,6.75,,,7.4,7.75,,
2040701,8,7.25,,,4.75,4,6.8,,4,
2040827,2.8,4,4.75,5.25,,,7.4,6.75,,
2040953,7.6,7,,,7.25,5.5,8.2,,5.75,
2040638,8.2,3,,,6.75,4.75,3.2,,6.5,
2040890,8.2,7.25,,,6.25,3.75,8.6,,7.25,
2039820,3.2,5.25,,,4,4.25,3.4,,4,
2039505,9.2,7.92,,,8,5.25,7,,7.5,
2040575,8,7.5,,,7.5,5.5,8.8,,6.75,
2039191,7.6,8.5,8.75,8,,,9,8.5,,
2039128,8.4,8.25,6.5,7.75,,,6,7.75,,
2039066,6,6.5,,,5,6,,,5.5,
2039883,7.4,6.5,6.75,7,,,7.4,8.25,,
2039757,8.4,6.58,,,7.75,5.25,7.8,,8,
2040764,7.8,5.5,,,8.5,3.5,6,,8.25,
2040260,8.4,5.5,,,7,6.5,6.6,,6,
2039631,8.2,6.75,,,8.25,7.75,8.8,,6,
2039380,6.4,6,6.25,7,,,,6.5,,
2040198,8,8,,,7,6,8.4,,7.5,
2039254,8.4,6.25,,,7.25,3.25,7,,7.5,
2039946,7.2,5,6,7,,,6.2,8,,
2040450,7,8.25,9,6.25,,,8.4,8.25,,
2040135,7.4,6.75,,,7.5,4.75,7.2,,7,
2039569,8,7.5,,,7.75,6.5,8.4,,6,
2040324,4.6,6.5,6.5,6.5,,,4.2,7.25,,
2040387,7.8,7.5,6.25,7,,,7.8,7.75,,
2040702,7,5.5,,,7.25,3.5,2,,6.75,
2040765,7,6.25,,,6.5,5.25,9,,8.25,
2040639,7.6,5.75,,,7.5,5.75,7.2,,7.5,
2040513,4,5.5,5.5,5.5,,,5.8,7.5,,
2040828,8,5.5,6,7.25,,,7.6,7.75,,
2039821,6.8,6.25,,,5.75,5.25,6.8,,4.75,
2039758,8.4,7.5,,,7.75,7.5,5.8,,8.5,
2039381,8.2,5.5,,,8,5.25,8.4,,6.25,
2039884,8.8,6.25,,,7.75,6.25,6,,8.25,
2039192,8,7.75,8.5,8.25,,,9.2,9.25,,
2040891,7,5,,,4.5,4.25,8.4,,5.5,
2040261,4.4,5,,,3.5,4,4.2,,4.5,
2039632,8,6.25,,,5.75,7.25,9.2,,6.5,
2039695,8,8.25,8,7,,,7.8,7.75,,
2040576,7.6,7,,,7.75,4.5,6.2,,8.5,
2040954,8,8.75,,,6.5,6,8.6,,7.25,
2039067,8.4,7.5,,,8,5.75,6.6,,8.5,
2039129,8,7.5,6.5,5.75,,,9.8,6.75,,
2040199,7.8,6.75,,,7,7.75,7.2,,7,
2039506,8.4,6.75,,,6.25,5.25,9.4,,8.75,
2039255,8,6.75,,,9.25,3.75,8.4,,7.5,
2039947,5.8,4.75,,,3.75,4.25,5.8,,4.25,
2040325,8.4,7.25,,,7.25,5,7.8,,7.5,
2040451,7.6,7,,,7,4.75,7.8,,6.5,
2040388,7.4,6,7.25,8.25,,,6.6,9.25,,
2039570,7.8,7.5,,,7.75,7.25,8.6,,8,
2040136,8.8,6.25,,,5.25,8.75,5.6,,9.5,
2039822,7.4,6.25,7.75,6.75,,,7.4,8.25,,
2040766,7.8,5.5,,,7.25,4.5,3.8,,6.5,
2040640,7.6,6.5,,,4.5,3.5,9,,5.25,
2040009,8.4,6.25,,,7.25,6,7.2,,8.25,
2039068,7.8,7.25,,,6.5,4.75,9,,7.75,
2039507,8.2,8.25,7.25,7,,,8.2,8.5,,
2039382,8,7.5,,,7,5.5,7.4,,7,
2039130,9,6.25,,,8.5,3.5,8.4,,8.75,
2039759,8.8,7.5,,,8.25,5.25,8.4,,6,
2039193,6.6,6.75,6.5,7,,,8,7.5,,
2040955,4,8,7.25,6,,,8.2,7.5,,
2040262,8.4,6.75,,,8.25,5.25,7.6,,7,
2040072,8.8,6.25,,,7.75,7.5,7.4,,7.5,
2039633,8.2,7.25,,,8,5.5,9.6,,6,
2039443,8,7,,,5,5.5,7,,7.75,
2040577,7.6,6.75,,,3.75,7.5,7,,6.75,
2039317,8.8,6.25,,,8,5.25,5.8,,8.25,
2039571,8.2,6.5,,,8,6,7.2,,8,
2040200,7.6,7,,,6.25,3.75,8.6,,7.25,
2040703,8.2,7.5,,,6,5.75,7,,7,
2039696,7.8,6.5,,,5.75,4.75,8.4,,8.5,
2039885,6.8,6.25,7.75,7.75,,,7.8,8.5,,
2040326,6.6,6.25,7.25,8,,,6.8,8.75,,
2040829,8.2,5.5,,,8,6.25,4.8,,8.5,
2040892,8.2,8,8.5,9,,,8.8,10,,
2040514,5.6,4,3.75,6,,,2.4,5.5,,
2039256,8,7.75,6.5,8,,,8,7.5,,
2039948,8.8,6,,,8.25,4.25,7.4,,8,
2040389,8.4,4.25,,,8,5.5,8.8,,7.75,
2040452,8,6.75,,,6.25,4.75,6.8,,7.75,
2040137,7,6,,,5.75,4.25,5.8,,5.75,
2039003,7.4,7.25,,,6.25,5,7.8,,3.75,
2039823,7,5.75,,,7.25,3.25,4.2,,6.25,
2040767,7.6,6,,,6.75,5.5,8.4,,7.75,
2040010,7.8,5.25,,,6.25,4.5,8.6,,5,
2040641,7.8,6.25,,,5,4.5,9,,6,
2039069,7.8,7.5,,,7,7.5,6.8,,6.75,
2039508,9.2,7.5,,,8.75,5.25,6,,8.25,
2039383,8.8,8,7.25,7.25,,,8.6,8,,
2039194,8.4,6.75,6.75,6.5,,,8.4,7.25,,
2039572,7.2,8.25,7.5,8.25,,,8.2,8.25,,
2040201,8.4,6.25,,,8,6.75,7.8,,8,
2039760,8.6,6,,,6.25,5.25,8,,7.75,
2040515,8,4.25,,,6.5,3,4.6,,6,
2040453,6.8,6.25,,,5.75,5.25,5.8,,5.25,
2039131,8,6.75,,,5.75,2.5,7.6,,8.25,
2039697,8.2,8,7.5,5,,,7.4,8,,
2040830,7.4,7.5,,,7,3,6,,3.5,
2039257,8.6,7,,,3,9,5.8,,8.5,
2040578,8.2,7.25,6,8,,,6.8,9,,
2040073,8.6,6.25,,,8.75,4.5,7,,8,
2040138,6.8,7,,,4.75,3.5,6,,3.75,
2039886,6.6,7.5,,,5.25,4,6.6,,3.75,
2040390,6.6,7,,,4,4.25,3.4,,5.25,
2040956,8.4,8.5,,,7.25,6.75,8,,7.25,
2039318,8,7.25,,,8.25,8,9.8,,9,
2039444,8.6,7.25,,,7.75,6.5,8.8,,7.75,
2039634,8.2,6.25,,,6,4.25,8.2,,5.25,
2040893,7.8,7,6.75,8,,,5.4,9,,
2040704,7.4,6.5,,,8.25,3,5.8,,7.75,
2039949,6.2,5.25,7.25,7.5,,,6,8.5,,
2039004,6.2,7.5,6,4.75,,,4.8,7.75,,
2040263,7.6,6.75,,,7.75,4.75,6.6,,4.25,
2040327,7.4,6.75,,,6.75,4.25,6.4,,7.25,
2039824,8,6,,,8,5,5.8,,8.25,
2040768,7.8,4.75,,,5,3.25,5.6,,3.75,
2040011,8.6,6,,,7,3.5,6.2,,7,
2040642,8.2,6.25,,,8.25,6.5,9.2,,7.5,
2039070,7,6.75,,,7,4.5,8.8,,4.75,
2039509,8.6,7.5,,,8.25,6.25,8.8,,7.5,
2039384,9,4.5,,,3,7,5.6,,8,
2039195,7.6,8,6.5,6.75,,,8.4,9,,
2039573,8.4,7.5,,,8,4.5,9.4,,6,
2040516,8.2,6.25,,,7.5,5.5,4.6,,7,
2039761,7.8,8,,,7,5.75,8.6,,8.25,
2040454,6.6,2.25,7.5,8.75,,,7.8,9,,
2039825,7.4,6.5,8.5,9,,,8.8,8.5,,
2039445,8,7.25,,,9,7.75,9.6,,7.25,
2040139,8,8,,,6.5,3.5,4.8,,7.25,
2039319,7.8,6,,,5.25,3.5,3.4,,5.25,
2040579,7.8,6.5,,,5.25,8,7.8,,6.75,
2040769,7.6,6,,,6.75,5,5.8,,6.75,
2040894,8,7.5,,,7,3.75,8.2,,6,
2039950,7.8,6.75,,,7.75,4.25,6.4,,6,
2039132,7.4,7.25,,,5,5.25,8.4,,6,
2040831,7.4,4.25,,,5.25,5.5,8,,5.75,
2040202,7.4,7,,,5.75,5.25,8.2,,6.75,
2039698,7.8,8.25,6.25,7,,,8.6,6,,
2039258,8.8,6.75,,,9.25,4,9.2,,4.75,
2040705,7.8,6.25,,,6.25,4.5,6,,4.5,
2039005,7.8,8.25,,,7.75,5,8,,5.25,
2040957,5.2,7,6.75,6,,,5.6,8.25,,
2039887,7,6.25,7,7.25,,,9.4,7.5,,
2039635,8,7.5,,,8,7.25,9.2,,8,
2040074,8.6,8.5,,,7.5,4.75,9,,7.25,
2040643,5,6,,,4.75,4.25,8.6,,4.25,
2040264,5.8,5.75,,,4.25,3.25,5.6,,3.25,
2040328,7.6,5.5,,,6.5,5.5,9.2,,5.75,
2040012,8.4,6,,,7.75,3.5,9.8,,6.25,
2039071,8,6.75,8.25,8.5,,,8.8,9.25,,
2040391,7.8,6.75,,,7.25,3.5,9.2,,6.25,
2039385,8.4,8,,,6,5.25,7.8,,8.25,
2039510,7.4,7,,,6.5,3.5,4.4,,8.25,
2039196,8.2,6.75,6.75,7,,,9.2,9.25,,
2040517,7.2,5,,,8.25,5,8.2,,6.75,
2039574,6,6.5,7.75,6.25,,,8.8,7,,
2039762,8.2,6.75,,,5,4,8.2,,9,
2040455,8.6,5.75,,,7,7.75,7.2,,7.75,
2039951,7.6,4,,,6.5,5,3.4,,5.75,
2039446,8,6.75,,,7.5,6.25,8.2,,8,
2039320,8.2,5.75,,,7.75,3.5,7.4,,6.5,
2039826,8.4,5.5,,,6,2.5,8.4,,3.75,
2040644,8.2,7.75,,,7.25,5.25,7.8,,6,
2040075,7.6,6.25,,,5.25,4,4.2,,6,
2039072,8.8,6.75,,,7.75,5.25,8.2,,4.5,
2039006,7.8,7.75,6,8,,,8.4,8.25,,
2039888,8.2,7.75,6.25,7.5,,,9.2,8.75,,
2040265,8.4,6,,,4.25,4.75,6,,6.75,
2040706,8,5.75,,,6.5,4.25,6.6,,4.75,
2039699,7.2,6.25,,,6.5,4.75,7.2,,7.25,
2040895,7.8,5.5,,,6.5,5,4.8,,7,
2039133,8,7.25,,,7.25,5.25,,,7.25,
2040329,6.8,7.33,,,7.25,6.25,8,,7.5,
2040580,7.8,8,,,7.75,4.75,7.6,,6,
2040140,6.4,7.25,5.75,7,,,8.4,7,,
2040203,7.6,7.75,8.75,8.5,,,9,9.25,,
2039636,8.8,6.75,,,7.75,6.5,9.6,,7,
2040392,7.4,6.5,6.5,6.5,,,5.6,7.75,,
2040770,8.6,7,,,8.5,5.25,8.8,,8.75,
2039197,7.4,7.5,8.75,7.75,,,9.6,8.75,,
2040958,7,7.25,6,7.25,,,8,8.25,,
2039386,8.8,7.75,,,6.5,6.75,8.8,,8,
2040832,6.4,4.5,7.75,6.5,,,4.8,9.25,,
2039511,8,7.5,,,8.75,6.25,8.8,,8.5,
2039259,8,6.25,,,6.75,9,9.4,,9.25,
2040013,7,7.5,,,6.5,5,6.2,,7,
2039575,8.6,5.5,,,7.5,7,7.4,,8.75,
2040518,4,4.75,6.5,7,,,3.4,8.5,,
2039763,7.8,7.5,,,8.25,4.5,6.8,,9,
2040456,8.4,5,,,7.25,6.75,6.8,,7.75,
2039952,9.2,8,,,9,5.75,7.8,,6.25,
2039447,7.4,7.5,,,8.5,6,,,7.5,
2040581,7.8,7.25,,,7.5,5,9,,5.25,
2040204,8.2,7.5,,,7.25,6.75,8.2,,6.75,
2040707,8.6,7.25,,,8.25,8.25,9,,8,
2040076,7.8,7.5,,,6.5,5.25,7.8,,4.75,
2039700,8.4,8,8.25,8,,,8.2,7.75,,
2039007,9.2,6.5,,,7,5.75,,,7.75,
2039637,8,7.5,,,3.5,4.5,6.8,,8.25,
2039387,8.6,8.5,8.75,7.75,,,9.2,9.25,,
2039198,8.2,8,8,7.5,,,9,8.75,,
2040014,7.2,7.25,,,6.5,8,5.2,,7.25,
2040393,7.4,6.5,,,6.75,4,8.4,,6.25,
2040141,7.8,6.5,,,5,5,9.4,,7.5,
2039073,9.2,7.75,,,7,6.5,7.4,,8.25,
2039576,8.8,6.75,,,6.25,7,5.8,,7.25,
2039321,8.6,7,,,8.25,7.75,8.8,,8,
2039512,8,8.5,8,7.25,,,9.4,7.75,,
2040266,8,6.75,,,7.5,4.5,5.2,,6.75,
2039827,7,8,7.75,7.75,,,6.4,9,,
2040959,7.4,7.25,,,7,7.5,5,,7.75,
2039134,8.6,6.25,,,7.75,5.25,8.8,,7.25,
2040519,8,7,,,7.5,4.25,9,,6,
2040833,7.8,5.25,,,7.75,6.25,9,,6.75,
2040896,7.2,8.5,7.75,8.75,,,7.2,9.5,,
2039260,9,7,,,7.25,4.5,7.6,,6,
2040771,5.8,4,,,6.5,4.25,8.2,,3.75,
2040645,8.6,7.5,,,8,5.25,6.2,,7.25,
2039764,7.4,6.25,,,7.75,5.75,8,,7.25,
2040330,5.6,6.75,8,7.5,,,4.6,8.75,,
2040457,7.8,6,,,7,3.75,7,,5.75,
2039889,8,7.25,,,6.25,6.25,9.2,,7.75,
2039448,8.8,6.75,,,8,5.75,9.4,,7.5,
2039953,8.2,5.5,,,6.25,5.25,6.4,,7.25,
2039008,7.4,6.75,,,5.5,3,7.8,,5.75,
2039638,8.2,6.25,,,7,3.75,8.4,,4.25,
2040582,7,6,,,6.5,5.25,3.6,,7,
2040077,7.2,6.75,,,8.25,4.75,8.2,,4.75,
2040205,8.2,7.5,,,7.5,5.25,8,,5.75,
2040708,7.8,7.75,,,6.25,6.25,6,,6.75,
2039388,8.4,6.5,,,8,6.75,8.2,,7.5,
2039701,8,7.25,,,7.75,7.25,8,,7.5,
2039199,8.4,7.25,6.25,8.25,,,9.6,8,,
2039135,8.2,6.5,,,8.5,4.25,8.2,,6.75,
2040458,6.4,3.75,,,5.25,3.5,4.6,,4.75,
2039765,8.8,5.58,,,8,7,9.8,,8.25,
2039261,7.8,6.5,,,6.5,2.5,8.6,,8,
2040834,6.4,5,,,2.25,2.25,5.2,,2.75,
2039890,6.8,6.5,,,5.25,5,7.6,,8.25,
2040646,6.2,6.25,,,5.5,4.25,6,,4.25,
2039954,7.6,5.75,,,6.75,5,,,6,
2040897,7.8,7.5,,,5.75,4.75,8,,5.5,
2040015,7.4,4,,,4.25,4.25,3.8,,5.75,
2039449,9.2,7,,,6,6,9.4,,9,
2040142,6.8,6.25,,,3.75,2.75,3.8,,4,
2040772,7.4,5.5,,,7.25,3.5,7.4,,6.25,
2039577,8.4,7.5,7.75,6.75,,,8.4,8.5,,
2039513,8.8,6,,,6,4.75,8.8,,6.75,
2039074,8.2,8.25,,,8.25,6.25,8.2,,6,
2040520,9,6.25,,,8.25,5.5,7.6,,7.25,
2040331,3.8,6.75,5.75,5,,,3,6.75,,
2039828,6.8,6.58,,,6.5,6.5,7.8,,6.5,
2040394,8,7,,,5.25,5.75,8,,6.25,
2039322,8.4,7.25,,,9,6.75,8.4,,8,
2040960,8,6.5,,,5.5,5,7.2,,6,
2040267,8,7.5,,,5.75,4,7.4,,7.75,
2039009,8.8,5.5,,,7.5,7.25,8.2,,7.75,
2039389,8,7.5,,,7.25,5.5,4.4,,7.5,
2040206,8.2,7.25,,,6.5,3.25,7.6,,6,
2040583,7.8,6.75,,,5.75,4,5,,5.5,
2040709,8.2,6,,,6.25,8,7.4,,8.25,
2039702,7.4,8,,,6.75,4.5,8.2,,5,
2039639,8.4,6.25,,,6.25,3.5,7.8,,6.75,
2040078,7.8,7,,,7.75,4.5,9.2,,4.5,
2039200,8,8.25,8.25,8,,,9,10,,
2039136,8.6,8.5,,,6.75,5.75,7.2,,8,
2040459,6.8,7,6.25,5,,,5.4,8,,
2039262,8,6.25,,,7.75,4,7.4,,6.75,
2039766,9,7.5,,,6.25,7,7.8,,8,
2040835,8.6,6,,,8,5,6.2,,8.25,
2039075,7.8,8,,,5.75,8.5,7,,8,
2040521,8,5.75,8,7.25,,,4,7.25,,
2039891,7.8,7,8,8,,,6.4,9.25,,
2039955,3.6,5.75,5,4.25,,,2.6,7.25,,
2040647,7.6,7.5,,,5.5,6,5.4,,6.75,
2040898,5.2,4,5,7.25,,,6.6,7,,
2040016,7.8,5.5,,,5,5.25,7.4,,7.5,
2039578,8.4,6.75,,,8.75,6,8.2,,8.5,
2040143,8,7.08,,,5.75,4,8.6,,7.25,
2039829,6.6,7.75,5.25,5.25,,,5.8,8.5,,
2039450,8.6,7,,,6.75,4.75,5.8,,7.25,
2039514,8.4,6,,,8.25,4.5,8.2,,7.5,
2040773,5.2,5.25,,,3,2.5,6,,3,
2040961,8.2,7.75,,,6,3.5,7,,5.5,
2040332,7.8,7.75,,,7.75,6,6.2,,8.25,
2040395,7,7.25,,,5.75,4.5,4.6,,5.25,
2039010,8.8,6.5,,,9,3.75,5.6,,9,
2040268,8.8,5.25,,,7.25,3.25,6.6,,7.25,
2039323,6.4,5.25,,,6.75,5.75,9,,6,
2040584,8.2,6.75,6.25,7.25,,,7.4,8.5,,
2039390,7.8,7,,,5.5,4.25,8,,4,
2040207,6.8,5.25,,,4,3.75,7.6,,5.25,
2039640,8,6.75,,,7,4.5,6.6,,5.5,
2039703,8.4,6.5,,,7.5,5.5,5.6,,8.25,
2040710,7,8.5,,,4.5,4.75,6.8,,3.25,
2039201,8.2,7.25,5.25,7,,,8.4,8.25,,
2040079,8.2,7,,,7,6.25,9,,8.5,
2039767,8.8,4.75,,,8.5,3.5,8.8,,6,
2040460,8.4,5.5,,,8.25,6,6.2,,8.75,
2039137,6,7.75,5.5,6.75,,,9,8.5,,
2039263,7.6,6.5,,,,,,,,
2040836,8.2,6.5,,,8.25,7,7,,7.5,
2039076,8.4,7.75,,,6,4.75,8,,4.5,
2039956,7.8,7,,,7.25,5.5,9.8,,5.75,
2039892,8.4,6.75,,,7.75,6.75,8.6,,7.75,
2040899,8.4,8,7.25,8,,,8.8,8.5,,
2040017,8,6.25,,,7.75,3.5,7.4,,6,
2040522,6.8,6,,,5,4,8.8,,6,
2040648,8.4,8.5,,,8.25,5.25,8.8,,6.5,
2040144,7,5.5,,,6,4,2.6,,5.25,
2039579,9.6,7,,,9.75,8,7.8,,9.5,
2040962,7.8,6,,,7.25,8.75,7.6,,7.25,
2039451,7.6,8.25,,,6.5,4.25,8.8,,7.75,
2040774,7.8,6.25,,,8.25,6,8.8,,7.25,
2040333,7.4,8,,,5.25,4.75,8,,6.5,
2039515,7.2,8.25,6.75,5.75,,,7.8,6.75,,
2040396,8,7.5,8.5,8.25,,,7.8,9,,
2039830,7.6,7.75,,,6.25,7.25,5,,4,
2039324,8.2,7,,,8,5.25,8,,8.75,
2039011,8.6,5.75,,,8.25,4.5,5.4,,7.5,
2040269,6.8,5.5,,,5.75,4,7.6,,5.25,
2040585,7.6,7.25,,,6.75,7.75,8.8,,7.25,
2040461,6.8,4.75,7,7,,,4.6,7.75,,
2039202,8.4,7.25,7.25,7.75,,,8.2,7.75,,
2039138,8.8,8.5,,,8.75,6.25,9.6,,9,
2039768,7.8,5.75,,,7.5,6.25,5.6,,7.75,
2039641,7.6,6,,,3.25,4.5,6.4,,3.25,
2040080,8,7.5,,,7,5,7.4,,7,
2039893,5,5.75,8,8.5,,,4,7.75,,
2040837,7.2,4.75,,,4,3.75,4.2,,5.25,
2040208,7,5.5,,,7.25,5.5,5.2,,7,
2040711,7.8,8.5,,,5.5,4.5,8.2,,7.25,
2039077,8.4,7.5,,,7.75,5.25,8.4,,8,
2039264,8,8,,,7.75,7,7.2,,7,
2039704,9.4,6,,,7.75,5,9.4,,5.25,
2040018,7.4,7,,,4.75,4.5,7.6,,2.75,
2040900,7,5.75,,,6.25,4.75,8.4,,6.75,
2040649,7.6,5.5,,,6,4.75,7.2,,7.25,
2040523,6,5.5,8.25,7.75,,,6,8.25,,
2040963,8.2,7,,,7.75,8.25,7.6,,7.75,
2039391,7.6,6.75,,,7,7.5,7.8,,8.5,
2039957,8.4,5.75,,,6.75,5.5,7.4,,4,
2040145,7.6,5.5,,,7.5,5.5,6.4,,7.75,
2039580,8.6,6.75,,,8.75,7.5,10,,8.25,
2039452,7.8,7.75,,,8.25,6,8.6,,8.25,
2040775,8.2,5.5,,,7,6.25,8.2,,8,
2039516,7,7.25,,,5.25,4,7.6,,5.25,
2039012,8.8,7,,,8.5,5.25,9.2,,7.5,
2039831,7.2,5.75,,,6.25,4.5,7.4,,5,
2039325,8.2,6.75,,,3,7.75,7.2,,8.25,
2040270,8.8,4.5,,,7.75,7.25,8.4,,8.25,
2040334,7.2,7.25,7.25,8,,,7.4,8.75,,
2040397,7.6,6.25,,,6.75,5,8.2,,5.25,
2040586,7.8,6.25,,,6.5,8,7.6,,8.75,
2040712,8,5.5,,,4.75,7.75,3.6,,7.25,
2039453,8.4,7,,,7.25,5.5,5.2,,5,
2039139,8,6,,,7.5,4.5,8.8,,6.5,
2039894,8,7,,,8.5,5,6.2,,8,
2039078,8.8,7.5,8.5,8.75,,,8.2,9.25,,
2040776,6.4,5.5,,,5.25,3,4,,2,
2039769,8.2,7,,,5.5,4.5,7.6,,7.25,
2040838,6,4.75,7.75,7.25,,,2.4,8,,
2039705,7.2,6.5,,,7.25,5.75,9,,8,
2039203,8,7,6.75,7.75,,,8.6,8.25,,
2039392,8.2,6.75,,,8.75,6,5.6,,8.75,
2040650,8.4,6.25,,,5.25,7.5,6.8,,6.75,
2039642,8.4,6,,,6.5,4.75,9,,7,
2039265,8.4,7.25,,,8,5.75,7,,8.25,
2039958,6,5,,,4.5,4.5,6.8,,3.5,
2039581,9,6.5,,,9.25,4,7.2,,5.75,
2040462,6.6,5,,,6.5,4.25,7.4,,3.25,
2040524,5.6,5.5,,,4.75,2.5,7.2,,4.25,
2040146,7.2,6,,,6.25,3.75,5.8,,6.5,
2040964,8.4,7.5,,,7.25,6.5,6.8,,7.25,
2039517,8,5.5,,,7,2.25,6.4,,5,
2040209,8,6.5,,,7.75,6,6.4,,5.5,
2040081,8,6.75,,,8.5,5,7.8,,8.25,
2040019,9,7,,,7.25,5.25,7.2,,6.75,
2040398,8,7.5,,,8.75,5.25,6.4,,3.5,
2039832,5.4,5,,,4.75,3.25,4.4,,4.5,
2039013,8.6,5.75,,,6.5,4.25,7.6,,7,
2040901,5.4,5.5,6,7.5,,,8,8.5,,
2040271,7.6,5,,,5.75,5.25,5.2,,7.25,
2039326,8.2,6.17,,,7.5,7.25,5.8,,8.25,
2040335,7.8,6.5,,,7.75,3.75,5,,7.75,
2040587,8.6,6.5,8,7.75,,,7.4,8.5,,
2040713,6.4,7,,,7,4.25,5.4,,4.75,
2039266,8.4,7,,,7,4.5,6.6,,6.75,
2039582,8.4,4.5,,,7,3.75,,,4,
2039770,7.4,3.75,,,6.25,4.25,7.8,,3.75,
2040082,8.8,7.25,,,9,4.75,9.2,,7,
2039079,4.8,5,,,4,3,4.8,,3,
2039454,7.6,8,,,6.25,3.75,5,,7.25,
2039140,8.4,6.5,,,4.5,8,6.4,,8.75,
2040651,8,7.5,,,7,4.75,7.6,,7.5,
2040210,4,5.25,6.75,6,,,6.6,7,,
2040839,7.4,5.5,,,7,4.75,4.6,,8,
2039518,8,6.25,,,7.5,5.25,8,,7.25,
2039014,9,6,,,8.75,4.75,9,,8,
2039643,8,6.5,,,6.75,5,,,5.5,
2039895,7.6,6,,,5.75,6.25,9.4,,6.5,
2040525,7,6.75,,,6.25,6.25,8.2,,5.25,
2040020,7.4,5.25,,,5.5,4.75,5,,6.5,
2040399,6.4,7.5,6,7.25,,,6.6,8,,
2040965,8.6,8,,,9,5.75,6.4,,6,
2040463,7.8,4.25,,,6.5,4,5.4,,4.75,
2039393,8.6,7,,,8.5,3.75,6.2,,8.5,
2039204,8,7.5,8,6.5,,,9.2,7.25,,
2040777,7.6,5.5,,,6.75,3.25,7.2,,4.5,
2039959,7.8,3,,,7.75,4,9.6,,4.75,
2040902,5,6,,,6,4.75,6,,4.75,
2040147,7.4,6,,,7.25,5.25,4,,6.5,
2040272,8.4,6.5,,,6.75,3.5,7.2,,5.5,
2039327,8,7.25,8,8,,,9.2,8.75,,
2039833,8,5.91,,,5.25,4,5,,5.5,
2040336,7.4,4.75,,,7.5,4,5.2,,6.75,
2039706,9.2,3.5,,,9,5.25,7.8,,7.75,
2040714,8,7.5,,,7,4.5,8.6,,7.25,
2040588,6.4,7,,,4.5,3,4.8,,5.5,
2039583,8.4,7.25,,,8.25,5.75,8.2,,5.75,
2039267,8.2,6.5,,,7.5,4.5,8.2,,4,
2039771,8.8,6,,,4.25,6.25,4.6,,7.75,
2040083,7.8,5.5,,,8.75,6,6.6,,7.25,
2040464,6.6,4.5,6.25,5.5,,,3,6.75,,
2040652,8,7,,,6,4.25,7.2,,7.75,
2040337,5.4,3.25,5.25,5.25,,,3.2,6.75,,
2040840,4,2.75,4.75,6.25,,,2.8,5.75,,
2039394,8.4,4.25,,,7.5,5.75,7.2,,8.75,
2039455,8.2,6.5,,,6.5,4.25,8.8,,7.5,
2040400,8,8,8,8,,,7.6,9.5,,
2039519,6.8,7,,,4.75,7,7,,6,
2040778,6.2,4.25,,,4.5,4.25,4.8,,5,
